# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL

guanosine nucleotides degradation II|PWY-6606|Guanosine Nucleotides Degradation|Guanosine-Nucleotides-Degradation|0.15112129|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6606
NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)|PWY-7268|||0.15530153|6.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7268
N10-formyl-tetrahydrofolate biosynthesis|1CMET2-PWY|||0.15597373|0.8888889|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=1CMET2-PWY
NAD/NADH phosphorylation and dephosphorylation|PWY-5083|||0.15621778|5.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5083
xanthine and xanthosine salvage|SALVPURINE2-PWY|||0.16098094|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=SALVPURINE2-PWY
folate transformations I|PWY-2201|Folate Transformations|Folate-Transformations|0.1650366|0.5833333|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2201
thiamine formation from pyrithiamine and oxythiamine (yeast)|PWY-7357|||0.16798101|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7357
phenylethanol biosynthesis|PWY-5751|||0.16925554|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5751
L-lysine degradation XI (mammalian)|LYSINE-DEG1-PWY|L-lysine Degradation|LYSINE-DEG|0.17600001|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=LYSINE-DEG1-PWY
sphingosine and sphingosine-1-phosphate metabolism|PWY3DJ-11470|||0.17600001|0.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3DJ-11470
fatty acid beta-oxidation (peroxisome, yeast)|PWY-7288|||0.17740169|1.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7288
L-citrulline degradation|CITRULLINE-DEG-PWY|||0.18069123|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=CITRULLINE-DEG-PWY
icosapentaenoate biosynthesis II (6-desaturase, mammals)|PWY-7049|Icosapentaenoate Biosynthesis|Eicosapentaenoate-Biosynthesis|0.1861627|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7049
pyrimidine deoxyribonucleotide phosphorylation|PWY-7197|||0.19138756|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7197
